quantile,x
0.5035,5.5011015930175128168054239088712442308636261902572334237449091530025608626987155750163824157019682580428240631420959450632584618236691347213745e-3
0.5036,5.6584729539080010980583454807823507265113099378852127936179734197199647269837297093149160936266211791981282715244798985410437390188128164703152e-3
0.5037,5.8158609002160441706211834962759316588393906117593351197017079113086696437849877281187061240487765945580090960911512642806421334839694728017705e-3
0.5038,5.9732658837887621654867237266585072056195964260397786323326449928967638498235427601958183112328322048687908147334233064532077384289221183503817e-3
0.5039,6.1306883557758389479495827624755968146639101251685693278383245491102240160437835666237367293781319789889184850902934838890118791133095273543268e-3
0.504,6.2881287666145760392498624181153268701257725878107881930694914926320265277047936275715907530377891253411453939123172775170956112457063285734246e-3
0.5041,6.4455875660152168314174381418492909792993852449422993074054923151583188228733463635958038070758744540902549864527980110284717021335564087763467e-3
0.5042,6.6030652029465434525427402597935330964376343239864807828537101954473616321720790982813895489713698312027717289893365687776151235706476043482609e-3
0.5043,6.7605621256217483871060551250775315407010261942603795339602200238370570386619120766972247932230870757616866665237284443189548389973354623086079e-3
0.5044,6.9180787814845827079042829547207432705234244204592796618536968889678173818217587439012605026086326503980466111225449584392056635576809609224316e-3
0.5045,7.0756156171957825328207700491849954675497675857903853241912381472124717580631564039301013895219601185443015917923752741678484982816966107888266e-3
0.5046,7.2331730786197750814622000026599099978086816439193972397605349917720436578639068357585555459607703240160271682178702391588156164072946219414594e-3
0.5047,7.3907516108116654737819597155092021781631688810699084490352612440524006126753288011781297488293126352313238081539136472291072190250159244487908e-3
0.5048,7.5483516580045051854414018898583365379132962738438582126273878677788997862277209535165357842923622227421001103461068876569760182346502000784770e-3
0.5049,7.7059736635968428530233955775946745294256923039504375496359747409430268622987307664854136078186841695872403738665800318748826477922178718248636e-3
0.505,7.8636180701405579064765724332351088771074376726674994989727872239476193030505316291199509640204069559124372661335824884179001757885062771330121e-3
0.5051,8.0212853193289772964803836586291693593961616828169658401142996971464273323307777237732455086944753673195527623588494758626347068884173113540599e-3
0.5052,8.1789758519852753809046052975319512572517452699322574571007692840510193811124108038836570432939981079854106495648821716491207327405245412035791e-3
0.5053,8.3366901080511568372948234364391078093613717564097976591332297245376815636945948395027811466786053020171797046048684112948234819699661167057670e-3
0.5054,8.4944285265758222774296643001753717670602297292172422033041334737977539479348872045493347663928571883875485689363068932805311942447550515971479e-3
0.5055,8.6521915457052160555284882415730333861276930495410494565058214505918031496468110266981974480592144147183559087864187015788688562362838307141182e-3
0.5056,8.8099796026715555836837475831648715463072790845521660569165773795964365025940656955228593937703919616601826734714541983116292944286380144660872e-3
0.5057,8.9677931337831412965764659267850269118603690772348657214021356230170229864909341043809554535714964765739012048679993440743684199017308402024329e-3
0.5058,9.1256325744144462425160414257857109357238115874487111011224980809958976881101045241251545864797505816427337738042191792859099748566502933892184e-3
0.5059,9.2834983589964841193209911005645571351113376945128373919880354506173336278524555360198693805458263483511560249968624637022537299996753284103044e-3
0.506,9.4413909210074544215049921040543513839078029883525366152291334179594467392647583258502681046062014042160092463380741967566391224485542989952576e-3
0.5061,9.5993106929636632196187501077860448467570437785058509089056028463634597817885486490216461840920936672888594023024375506054137264658806133572444e-3
0.5062,9.7572581064107179533763678929685308905458643585597044643299000924270504847255110547640684265357582726076981752448124692423389216680461396182630e-3
0.5063,9.9152335919149944873068968023672031048847672187857744569099741771690893236239981622447443482424152837986370710903344246341043870258023131021627e-3
0.5064,1.0073237579055374551048810138259683255649597156808380056568800090160262470864711275799028341699387671193925540844800972025154365506530086807669e-2
0.5065,1.0231270496415251565968592913524517135976443838527665423432569514746708331899890277397855865055109956756936116366250572165331014024137201950455e-2
0.5066,1.0389332771574802745446880369211605126995040808233982879590635193436102340845096210661896591062587750520121586678574083343742054588969494893723e-2
0.5067,1.0547424831103525247840842543708177933659148754780528697462717461658367285194802879394397285844323734389951871967788173821529212702861421677693e-2
0.5068,1.0705547100553034058696704592998927735675961728245479871108732146653435796669020478492398050740060571958197100861009658323892357066197385545519e-2
0.5069,1.0863700004450119182141732365410847630381057788445821994411398935151813566518844005762053015235634128134063732580188136129274196316231588631903e-2
0.507,1.1021883966290059630415167561778620463282104670425991327486638157100303689601466417356131184186698793531553206131921667557333168606032840936518e-2
0.5071,1.1180099408530191615081776284221422016114880294305862109635865135028175973460224375927010257902558393157120348189745012498074188672678695306897e-2
0.5072,1.1338346752583728263484690154846346486833203801645927981007788495799457251719575748545988387769626711323927673850382812630012935304523461600712e-2
0.5073,1.1496626418813828109307008556776087118927102897282344025662517874875364372825658085571703139954441425941585278006261411772958321973916247030055e-2
0.5074,1.1654938826527909536591849808131103225683924423967215274201303337271171044655811088361674651025010337899847089846915326851422624581438907632894e-2
0.5075,1.1813284393972208292083119126610698854983876497386312027375922037766932840542593431049661840075106097576277813024143772705215895985569072089913e-2
0.5076,1.1971663538326575121156931970605347726456603311455984719086739069271150191147554909397534979712228849135923643993819603206736134556630350471544e-2
0.5077,1.2130076675699510527777413086761046717424965901784283850416712809517788779669657372676616363111156775036845594090140569221987360357161737894851e-2
0.5078,1.2288524221123433608690254835932487939305497885671778343277583244412489699155266336837241491946717329346488686175749501341583858528624481776402e-2
0.5079,1.2447006588550181866321912573981076867782877059705513781437240176749610586170560979348220259482297039570341246072952221453245255470389405789667e-2
0.508,1.2605524190846738863440167384480220872439422126902217405002630215036862437915514065259675119119569456563723772837331397314824404560640085354039e-2
0.5081,1.2764077439791186545411472521141655769331238989486375682912977724163357085547643912646821782407112234058546215197042141039353583889615894475071e-2
0.5082,1.2922666746068879022720784715450332577975651314780691047721447546389732943234092631226799504301973540462558908917276197368342720961799674139102e-2
0.5083,1.3081292519268834577159835512197627057839280244423556604790739224311492886974876025080808105335833635522269016089792278744686059383994363187477e-2
0.5084,1.3239955167880342629600286368108370645580996909346122241183856619739725495582284649539908842894885428648712390805342010183989327445203372952975e-2
0.5085,1.3398655099289782385410359654789966117165505059327085783259961096994860377190073316863701375008660354414476576501587886330849628324271259472816e-2
0.5086,1.3557392719777649855210172702691363551108194067958125849065742150472250754467451795887173297643065677681023910872534574163858134508648412107380e-2
0.5087,1.3716168434515789933656571095606216991932631009348784160969726430631273501605791064121047104622652700891030347123003399595021151842284518548020e-2
0.5088,1.3874982647564830207169026825226617239448287024999358551089220121943645464090040822797660273772011331379206845900292333188243371678941353933065e-2
0.5089,1.4033835761871813152822399572634247746885130351692906560443508751925442296353485726757295191225946644172521198007068826845315697769946449245829e-2
0.509,1.4192728179268023384910473803609589985633225902668867202708821333119786109143554888989456471934472339792634288085171864195421176551034686863356e-2
0.5091,1.4351660300467006602798895562760440718659408208227141428004704059113741767137389555789952983415959026904899918604232360981369074964015340046886e-2
0.5092,1.4510632525062776893512576370770929030911121256856539849069658043861821253840844671487752230627157370653353628358237597162927599832227281051623e-2
0.5093,1.4669645251528209044918471652656405854300398254604694780284578728858077564105034248450267269508996226343144204489640987442316647436030106665151e-2
0.5094,1.4828698877213612530250163667451999468554204187417714923635346094584909935640408503360010553134800968182294161353673854519176845777903056091587e-2
0.5095,1.4987793798345483831958871040160829445044481591941947396021817200334439820060683531978306591199510076761168115450816969025792221554751327101500e-2
0.5096,1.5146930410025433782352123011055718997551600057746320525080855153253403988476811076262853290407470785912350675993985915972419818040367182788159e-2
0.5097,1.5306109106229286610084951946811147921229183807748924398031884868615071144981355046302261982233199749476139660263967284161664396123276123229459e-2
0.5098,1.5465330279806347395190511962372289692381533512332116122391132304565316304977098632216761265797260732853227116185174418219559097913562154197663e-2
0.5099,1.5624594322478834650871860264151980127563660467069298898527054559593612129021118500274950856622034545688119096519985847088964997607218165511601e-2
0.51,1.5783901624841474767621495221553722762413739275035311717218488630534253532331095211148341205961930846369218155002686477822476167635118356926211e-2
0.5101,1.5943252576361255074290317473838841150867628926432948654874388617585145334972338859798609966495168203732615928547791576401089546632234286454783e-2
0.5102,1.6102647565377332291396091171119713379517793225925054418269026925560920679038495423799670344567056652603144808137189012154532439035965170554394e-2
0.5103,1.6262086979101093174149290272241475760033322562577524597849284420952149388006245529664633659090366200074450641792283185710382938816726462695633e-2
0.5104,1.6421571203616364166290403848981616939418776061496368662525240964290098844415466687545740957087672724757274626881681506064608918119040565239021e-2
0.5105,1.6581100623879766910789238703632868877757745016962769879212557656728358263998603084929496889549257240984161805062421302032725711997489469286748e-2
0.5106,1.6740675623721216489668279932413349555605294807694739674644781318818708494801546375603558312405135841060959754637082902105930328561648044810946e-2
0.5107,1.6900296585844559292596394819737099276727939226763078554229656698236654379075705085347390800488012195988211275383689441440309251453321294426524e-2
0.5108,1.7059963891828347442376567497614709234945667413929996695705252264713039677054170837290249817849228975301157416581326694675534402686882400381028e-2
0.5109,1.7219677922126746734945200769505477192547602637773849398474618538502168703884090633951982824253081686977146675710367132867393846179041929300430e-2
0.511,1.7379439056070575081936842290275116336058286614266457969416854557878122858436398966592255895121272633708015142570347542503205741299733517191037e-2
0.5111,1.7539247671868468475175722284936217420326582395056418760399324392185764856976917323643345765699876834342896942461544081165051062681113587093630e-2
0.5112,1.7699104146608171524565633197957365734078474493367635870450360550769365460759089932634911545009573276972287816749459766720043566238819206401137e-2
0.5113,1.7859008856257949653696460337387782569486576538392316936400283307700585132250728381225144420667910228672265847434826188476442471111241046944668e-2
0.5114,1.8018962175668120071005676497412507645148371445427367962867990039877211495941243547424298106308582675784057819218561186008422176726918195882014e-2
0.5115,1.8178964478572698668465447399033089424498897713945382698673706590578064548504851332888586970181742782561825045939304839359818342607303200806116e-2
0.5116,1.8339016137591160034452223899356895449084775971274717140831239099869937876559839573901532900350715588706247326462883186422131445940170029332501e-2
0.5117,1.8499117524230307802639791584516429387206146812823834930290383101609724756638200046630943770011819379961119934358713067541881699287964723233200e-2
0.5118,1.8659269008886252594385027099866891292278181432009908095953140540493530690461525416285695089616040742798163676765860663997610475572475855289921e-2
0.5119,1.8819470960846494848096682490185682473276067027871752930207020917826060933006487289235334215626662980710327647963507992637447991450115273370210e-2
0.512,1.8979723748292109865442225322383820588598529145684273763051705521405798450478163593219217982443150117643443938875151682013667321225920803330869e-2
0.5121,1.9140027738300032440909118390208606210568711203678363340729621214800926268495488202268221867907563170611785186472100029212121089979411758525875e-2
0.5122,1.9300383296845438478150057828807186928043780148025739069641545073384910973845849484944360072846286150607282098565494086326695263911524797255013e-2
0.5123,1.9460790788804221033663787378932918406987582973612215152879415496848215864219480796113924398912792801055490639761845423037042213194073514878480e-2
0.5124,1.9621250577955558265653350559280092624456839613896958660622887438026529638395438989671974354208798684532246916036777043775323769550513187876936e-2
0.5125,1.9781763026984570803323150322776804877481007196054169213947427138304416944263015852175944396355389672843538251183827563281993679713373487682845e-2
0.5126,1.9942328497485066089387954998557704938528134640402179196385628926988286558549243466840631871534380763076392986223363186595994654823281047481029e-2
0.5127,2.0102947349962367286135838371109977953939878977231950499739711881591953782123408515870620574067601257485633262607749767212019607624134458003549e-2
0.5128,2.0263619943836224372979552272191126379611363231165451610926227235969048068749396615323385745042684076876785383095448150159009927586852155310892e-2
0.5129,2.0424346637443805101015290010955745911522205847617329699788100951604212405262536180237805518389331559807554812790189362589772409889925484281902e-2
0.513,2.0585127788042763507654146381439440631273852342285886565655337038089697560420794033399118648940830602059781763247815293060334556737033435861339e-2
0.5131,2.0745963751814383731871347569328917389260720173159288349994620618106798080456714521967843424645392943183823168703350263154440666480048923631433e-2
0.5132,2.0906854883866796908004584844801141766916355784625198012244664718976939191402853799093077961357376439641361727052406558917589572488750536020600e-2
0.5133,2.1067801538238268953300098754970064100510677082951309772685481854090828808249239381275375583851368641656261702327512190426699409587745162071043e-2
0.5134,2.1228804067900557101529518692447755278340714963898038739223631224243893078295733898737946505034566442032658919954674572968777884231234837852319e-2
0.5135,2.1389862824762333071959241424210958985016281874874374384439275853738374680665840995751903798665821265946168615023651803420109738815879654308681e-2
0.5136,2.1550978159672670799726038148808954671431978518086910394051306921059402155327222371072509068410590855354301439355551750965052384712226960516825e-2
0.5137,2.1712150422424596690237601633166485432673682133274508309243155304776611064428726038097001163987393137921519351303831217481196756586742004755333e-2
0.5138,2.1873379961758700396556105252252017268946694931058827493612268198216233998820981272131418569949301059082959181814934909822989681151881425089191e-2
0.5139,2.2034667125366804154818952871885151915790877135800003968790159618657858021411963850899281053882497948765012533009785836247391223279021434203395e-2
0.514,2.2196012259895688748587301142378053596372673942077391405845621783755249571936865619322304341898730420106303105586023519589556588778947099621034e-2
0.5141,2.2357415710950874208574277679178738505806246472679144483591792520539435564509348388036650648645399605163946429206229183452949512214789745459944e-2
0.5142,2.2518877823100453389476794829129198679703507355548670800647780803354342077713773503260084545153978448283003266625986572686629802658324829910885e-2
0.5143,2.2680398939878976600604172874834161869754476873058955636535321374707839073336031411848556882749671328272983682476911851291687508083020665942750e-2
0.5144,2.2841979403791385501651109305200690209774226461058865154169772528154492938170358928460171290555027395561221310521579848873456588902955104656875e-2
0.5145,2.3003619556316994509290459592511027797174542147161829398369724000315013147646018837330814589723709600315486739387684937416809739595923605880448e-2
0.5146,2.3165319737913517994252314716272301670839266559796542781786403676811918803095760858101595231389914943459489341736429282264598732453566773291854e-2
0.5147,2.3327080288021141582200305910789287991501981244596171209963813012677474654443661097932885999905933116734140942024278289998198379224862317402426e-2
0.5148,2.3488901545066635905005084839348626391648558260842607669461242387068998576439892424204660966396378066964852894723574720546673152547810490842935e-2
0.5149,2.3650783846467511181940441504159796769193033223133035624022107706992045762133411651575287878858283014604156538325208319408604078305047625180017e-2
0.515,2.3812727528636211042882198770482625360558448947204550768979791189302634092753641611443858460325981575841000041551099635234691116667721734437317e-2
0.5151,2.3974732926984344037767236145743999314030324466509641728935034165269164153444182520151341264766044987200776556055554087744373612542635081160889e-2
0.5152,2.4136800375926951308363797329608076441113310826752430908590132223000389664809442304310879493715771876531070213330733253101815766971043205681300e-2
0.5153,2.4298930208886808929809321759763564658081279436170428148223166571557486923587033921738766892350322911478636222978288615924777956305046362334005e-2
0.5154,2.4461122758298763460383720104934927295461371536476423234442863458485521202833854488438520902325682742691800351641747246739491202002450759513520e-2
0.5155,2.4623378355614099268600182742850655096926116521115993852051590523974503685556424712121238827924252268505750833360696864509675083367219194810129e-2
0.5156,2.4785697331304936236908720910512388080013512845702697840310653604053113998759882459414750232378795927102379160138366543567403589551189445765932e-2
0.5157,2.4948080014868656471116674189081271064600390033420793667251318694416527924806169692626818861183992885658758978912984660342939561756235401026893e-2
0.5158,2.5110526734832358674032860271069887161223035649625829897076528975337768796027860006553078878675091659387484278755762643515152488937795469614375e-2
0.5159,2.5273037818757338870835856373894555643190189824374994291707105668626731494447315882239141048211431953782136005375403692689935318339611652582275e-2
0.516,2.5435613593243596202250502405268183204998919426057932929054744697656072210075059373885497979286178730913569620177225769375424416915297991584292e-2
0.5161,2.5598254383934362529788950060898756600799981924014368607859789781654205688850485204361879587412731277022882823244157944925512240262813150787566e-2
0.5162,2.5760960515520654625072702587924521791539161111639176383970476969028250614805378311771198326230977895621340260669265940278304267737435481549019e-2
0.5163,2.5923732311745847742599735438167669155357073883872440283467977977631817579181911948921527383486762142723488071465286164644940032242412774380653e-2
0.5164,2.6086570095410269402255961253166264501123662909572915921717115582195958783310254222726015220020611210266085699761919407658322437483303009277192e-2
0.5165,2.6249474188375812234393350514521992320623777052734172555557600956662388848464678674651095892499319120215457564809517827938439644570035165965761e-2
0.5166,2.6412444911570564766408613478825683148558775762590764853934649735713077611336836487032819480593323479764774932389668069210200853113573948133464e-2
0.5167,2.6575482584993459055457467575250459578223830646709186990515355888860335673474172713123259786180783288482616200299715030407179693560362272871525e-2
0.5168,2.6738587527718934097231423443040430775601848828179190415287278869703815628625512087880430695801222158009888206771303337737627848977036011355979e-2
0.5169,2.6901760057901613965608259533890633136944887059937645898775247681882549254691460665220170748462592398530879061607379020622588953623185896403962e-2
0.517,2.7065000492780999662465711704193547743819130433774496327822131084329979667574132572256624267081065428368523163721427466435134618965123662374039e-2
0.5171,2.7228309148686173681022411407041693854760698546220243143833541967273331925526363692246899171821311074388023806920164888554616618042822973908387e-2
0.5172,2.7391686341040516309743018717937248692961765311215271545970630979178876031448709511771717279951219138640608552518123865741960829876306192061641e-2
0.5173,2.7555132384366432727118278596965292873037727769938214665633445989573506891009860537353581051149441227208173106047362148123873723975719124197170e-2
0.5174,2.7718647592290089960508040107579128256972863921989512822551660576922067578599753326892525184618704649021342753564039360902261308198810698907081e-2
0.5175,2.7882232277546162804718960623829463052360100206178996108715528367413927412318724638994074761776861414838301433090193616196951879606241385253454e-2
0.5176,2.8045886751982587818081681771962626437568310870114420307501619008118347118374767666477345182601011196460022850684249043052864387265752865956643e-2
0.5177,2.8209611326565324535497879817401340687477201019606080179823169948730654154067828046370012720420262366837455928740287232363720622336872106915518e-2
0.5178,2.8373406311383123059249075129792878737729727352914860466278210672540716706222981457597524321361891423530871235662215101250865155779999396707180e-2
0.5179,2.8537272015652297209299882736071523311785495259675389879165650634163647587057687295138036427504235781767264646384763193268097012157374132214581e-2
0.518,2.8701208747721502435392072534881899026882246877397386996399605251045975766356191094226567196308640818696006364703572093576006305487963137511074e-2
0.5181,2.8865216815076517713416071379405040819571369180695016047595321009668902844363375112436100315473913481423682300626414342869130241618719804180747e-2
