x,cdf(x)-1/2,ccdf(x)
0,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0,5.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-1
0.0009765625,6.216871401946075663878546391646638278038068769547310444642439580974134254585334949865349990506340077402e-4,4.993783128598053924336121453608353361721961931230452689555357560419025865745414665050134650009493659923e-1
0.001953125,1.243303183797656389957462522477470588848805895701352167431804799830203700508949448203011419939627696058e-3,4.987566968162023436100425374775225294111511941042986478325681952001697962994910505517969885800603723039e-1
0.0029296875,1.864777238291036832342424845365698226990679326645879564789105899981371973907873991119404805468540932306e-3,4.981352227617089631676575751546343017730093206733541204352108941000186280260921260088805951945314590677e-1
0.00390625,2.486038816019986934028210068325918534031827759867411332693625628408948761201901073182893556846053420092e-3,4.975139611839800130659717899316740814659681722401325886673063743715910512387980989268171064431539465799e-1
0.0048828125,3.107018028587061387852616631665178702494034986149564155293466201834668309967329659969519332453196244056e-3,4.968929819714129386121473833683348212975059650138504358447065337981653316900326703400304806675468037559e-1
0.005859375,3.727645772058762599326997535221316681242224419154427934141487525815118251626872179938053177731862247613e-3,4.962723542279412374006730024647786833187577755808455720658585124741848817483731278200619468222681377524e-1
0.0068359375,4.347853900626679944391878676523284350251540739510427118239872342065480406262487425085402696074361203839e-3,4.956521460993733200556081213234767156497484592604895728817601276579345195937375125749145973039256387962e-1
0.0078125,4.967575386865157252050832947969529664564969526917989863423704545468650904386396941758046007007505948251e-3,4.950324246131348427479491670520304703354350304730820101365762954545313490956136030582419539929924940518e-1
0.0087890625,5.586744467249774918140319873964787596978785058425329888143424484679271782146894956805295222051023611348e-3,4.944132555327502250818596801260352124030212149415746701118565755153207282178531050431947047779489763887e-1
0.009765625,6.205296772107225893084502604310289407318818885932453017626697671183591102767792696376509237281513094057e-3,4.937947032278927741069154973956897105926811811140675469823733023288164088972322073036234907627184869059e-1
0.0107421875,6.823169439629400324545284424398804538345294843422176082664250794416029146558339468459227749675004215998e-3,4.931768305603705996754547155756011954616547051565778239173357492055839708534416605315407722503249957840e-1
0.01171875,7.440301213985125254414240721605241543176687131392188299410669656565237392572189891809019425961127121556e-3,4.925596987860148747455857592783947584568233128686078117005893303434347626074278101081909805740388728784e-1
0.0126953125,8.056632527893805597345157612702464717451347831325230131888285740353325514471936569809169848152234086402e-3,4.919433674721061944026548423872975352825486521686747698681117142596466744855280634301908301518477659136e-1
0.013671875,8.672105570285203825420478851979161540008037143076551813433250050720289676877634294170122419325890329758e-3,4.913278944297147961745795211480208384599919628569234481865667499492797103231223657058298775806741096702e-1
0.0146484375,9.286664339862825614307915852457285147431412216626030721754062815498326764984789241968529980612616960902e-3,4.907133356601371743856920841475427148525685877833739692782459371845016732350152107580314700193873830391e-1
0.015625,9.900254685521936422759033898999181962587095414404998066024544556202043980656816684255651892628884091684e-3,4.900997453144780635772409661010008180374129045855950019339754554437979560193431833157443481073711159083e-1
0.0166015625,1.051282433465568634171816220542774822719992446011703803779106110732601683062056423026809150615963391580e-2,4.894871756653443136582818377945722517728000755398829619622089388926739831693794357697319084938403660842e-1
0.017578125,1.112432291042308921708913002141112087155434308972462423562298877799568655153087617627652135994760329674e-2,4.888756770895769107829108699785888791284456569102753757643770112220043134484691238237234786400523967033e-1
0.0185546875,1.173470193905922958287229055426133873043282359494918057889420989462971200476670552168146806834325109136e-2,4.882652980609407704171277094457386612695671764050508194211057901053702879952332944783185319316567489086e-1
0.01953125,1.234391484828879314138100593152314404777824868466612159442984217510939202386379425483342642516488104290e-2,4.876560851517112068586189940684768559522217513153338784055701578248906079761362057451665735748351189571e-1
0.0205078125,1.295191695786555737556022461347997215599815872812266783734220188065189638567679770366643997309418278877e-2,4.870480830421344426244397753865200278440018412718773321626577981193481036143232022963335600269058172112e-1
0.021484375,1.355866546320849594480960504338742514357794904099514157776328617274861146590315875993834302419701111659e-2,4.864413345367915040551903949566125748564220509590048584222367138272513885340968412400616569758029888834e-1
0.0224609375,1.416411941304427445219724540201204669771165406803865743060769568244127400541928560001637147674131920705e-2,4.858358805869557255478027545979879533022883459319613425693923043175587259945807143999836285232586807930e-1
